Name,Description,Certification Date,Location,Sector,Website,Overall Score,Governance,Workers,Community,Environment,Customers
blisce,blisce/ is a growth VC fund helping entrepreneurs build mission-driven global consumer brands and technology companies across the US and EU.,"May, 2020","Paris, Paris, France",Service with Minor Environmental Footprint,www.blisce.com,91.1,7.5,26.1,28.9,4.9,23.1
PAPA,"Papa's makes lifestyle design products by upcycling available materials and generating a positive impact in local communities, empowering women.","September, 2018","Ciudad Autónoma de Buenos Aires, Buenos Aires, Argentina",Manufacturing,papastudio.co,82.2,9.6,22.1,24.1,26.2,
Sarape Social,"Sarape Social is the only social communication agency in Mexico dedicated to the design, management and communication of projects based on creative ideas, transformative and with human sense; using marketing tools for social transformation.","February, 2018","Guadalajara, Jalisco, Mexico",Service with Minor Environmental Footprint,www.sarapesocial.com,89.6,19.3,25.0,25.2,7.5,12.6
Ecotone Analytics GBC,"Ecotone Analytics GBC is a data analytics company working with clients who want to manage, monitor, and measure their social or environmental impact.","May, 2017","Minneapolis, Minnesota, United States",Service with Minor Environmental Footprint,www.ecotone-partners.com,109.4,16.7,20.1,19.4,14.9,38.1
Classcraft,"Classcraft is an Engagement Management System (EMS) that uses the cultural phenomenon of video games to help educators drive measurable academic performance, non-cognitive skills development, and school climate. By blending students’ physical and virtual learning, the program reframes their progress in school as a game they play together throughout the year. The ecosystem of tools integrates all aspects of the classroom, from gamified personalized learning to formative assessment and classroom management. The game mechanics encourage students help one another, stay on task, and take an active stance against bullying. This creates a more fun, empathetic classroom culture where students are deeply engaged. Systemically, Classcraft addresses engagement by connecting real-life interventions with engagement data from existing content and platforms. The result is a positive impact on individuals and educational outcomes including school climate, social emotional learning, academic performance, and attendance. School leaders gain greater visibility into the classroom, helping them gauge the effectiveness of interventions and make better-informed, data-driven decisions.","February, 2019","Sherbrooke, Québec, Canada",Service with Minor Environmental Footprint,www.classcraft.com,86.6,11.9,30.1,16.6,4.5,23.2
CLINITEX PROPRETE,"L'entreprise CLINITEX est spécialisée dans la propreté de tous locaux à usage professionnel et pour tous secteurs d'activité. Prestations d'entretien, lavage de vitres, prestations spécifiques, désinfection, bionettoyage et bien d'autres font de CLINITEX une entreprise experte dans son domaine, le nettoyage. En faisant du bien-être des collaborateurs sa priorité, elle observe que cela entraine naturellement la satisfaction de ses clients et la performance économique. Plaçant, au cœur de son développement, des innovations environnementales et sociétales liées à son activité, CLINITEX est aligné avec sa mission, sa vision et ses valeurs. Elle base son management sur des principes inspirés de Maria MONTESSORI, Pierre RABHI et bien d'autres références qui lui font sens. Une philosophie d'entreprise, co-construite en interne et mise à jour régulièrement, résumée par 8 valeurs, sont le ciment des relations internes et externes : Respect, Esprit d'Equipe, Audace, Confiance, Engagement, Responsabilité, Bonne humeur et Droit à l'erreur. The CLINITEX company specializes in the cleanliness of all premises for professional use and for all sectors of activity. Maintenance services, window cleaning, specific services, disinfection, bio-cleaning and many others make CLINITEX an expert company","February, 2021","Lezennes, toutes, France",Service with Significant Environmental Footprint,www.clinitex.fr,81.3,14.5,24.8,13.9,25.4,2.5
Stride Treglown,"Stride Treglown is a AJ100 employee-owned architectural practice that stands for Better Places, Empowered People and Resilient Partnerships. Over 300 people work in a collective of studios, formed of architects, designers and specialists. Thier expertise spans the sectors of Civic, Commercial, Education, Healthcare, Infrastructure and Residential. They have a network of 9 regional offices and are embedded in the communities that they work and live in. Together with their clients, they aim to improve the lives of future generations. Stride Treglown promotes a form of design that isn’t driven by ego, but by purpose.","January, 2021","Bristol, South West, United Kingdom",Service with Minor Environmental Footprint,www.stridetreglown.com,101.5,11.2,38.2,14.5,33.8,3.6
Impact Hub S.L,"Impact Hub Madrid promotes innovation and impact through a hybrid model that includes singular coworking spaces, rooms for inspiring events, training programs and accel- of projects, and a community of entrepreneurs.","April, 2018","Madrid, Madrid, Spain",Service with Significant Environmental Footprint,madrid.impacthub.net,84.7,8.6,16.7,41.2,12.2,6.0
Re-Vive,"Re-Vive concentrates on brownfield sites instead of unexplored area. The urban areas have enormous potential to transform themselves into sustainable communities. B Corp certification gives us an objective assessment of the actual realization of Re-Vive's beliefs and a tool to prove they makes things happen. It is also a way to reset the standards in a rather conservative business such as real estate development. The B-corp label gives Re-Vive a boost to outperform on their impact ambitions. The mission of Re-Vive in these areas is to develop green spaces and living quarters with a social, demographic and functional mix. Through all projects Re-Vive stimulates neighbourhood participation , the use of public transport and biodiversity. Recycling of demolition materials, the reuse of rainwater, reducing waste and the use of sustainable materials are always included in the project plans. Historically, the legacy problems of such sites have stood in the way of redevelopment with the barrier of reclaiming contaminated sites and regenerating existing buildings proving too complex to resolve. The net result is these sites largely remain undeveloped.","December, 2012","Ghent, Ghent, Belgium",Service with Significant Environmental Footprint,www.revive.be,94.2,12.6,23.9,18.0,39.7,
Good Food for Good Inc.,"Good Food For Good is an organic food company committed to making it easy for you to eat healthy while helping someone in need. Our food is hand-made using organic ingredients and free from allergens, refined sugar and preservatives. That’s not all, every time you buy our products, we donate money to feed someone in need. Our offering includes ketchup, BBQ sauces, fresh cooking sauces and turmeric tea. Our products are available across Canada and US and are sold under brand names Good Food For Good and Turmeric Teas. The company was founded by Richa Gupta, a marketer and mother of a 9 year old girl. As a working mother, Richa found it very challenging to find packaged food and prepared shortcuts that met her expectations for taste and ingredient quality. Frustrated with being forced to compromise quality for convenience, Richa launched Good Foor For Good to make it easy for every one to eat well and do good. Inspired by TOMS Shoes, Richa adopted the Buy One Feed One model for her food business. Richa is proud to have made a positive difference in over 80,000 meals and is actively working on reaching her goal of feeding 1 million people by 2020.","June, 2018","Toronto, Ontario, Canada",Manufacturing,www.goodfoodforgood.ca,88.0,7.4,19.9,42.4,18.2,
